Type Name;Base Type;Value Name;Value;Comment;
;;running;1;;
;;cycling;2;;
;;transition;3;Mulitsport transition;
;;fitness_equipment;4;;
;;swimming;5;;
;;walking;6;;
;;all;254;All is for goals only to include all sports.;
;;;;;
activity_subtype;enum;;;;
;;generic;0;;
;;treadmill;1;Run;
;;street;2;Run;
;;trail;3;Run;
;;track;4;Run;
;;spin;5;Cycling;
;;indoor_cycling;6;Cycling;
;;road;7;Cycling;
;;mountain;8;Cycling;
;;downhill;9;Cycling;
;;recumbent;10;Cycling;
;;cyclocross;11;Cycling;
;;hand_cycling;12;Cycling;
;;track_cycling;13;Cycling;
;;indoor_rowing;14;Fitness Equipment;
;;elliptical;15;Fitness Equipment;
;;stair_climbing;16;Fitness Equipment;
;;lap_swimming;17;Swimming;
;;open_water;18;Swimming;
;;all;254;;
;;;;;
activity_level;enum;;;;
;;low;0;;
;;medium;1;;
;;high;2;;
;;;;;
left_right_balance;uint8;;;;
;;mask;0x7F;% contribution;
;;right;0x80;data corresponds to right if set, otherwise unknown;
;;;;;
left_right_balance_100;uint16;;;;
;;mask;0x3FFF;% contribution scaled by 100;
;;right;0x8000;data corresponds to right if set, otherwise unknown;
;;;;;
length_type;enum;;;;
;;idle;0;Rest period. Length with no strokes;
;;active;1;Length with strokes.;
;;;;;
connectivity_capabilities;uint32z;;;;
;;bluetooth;0x00000001;;
;;bluetooth_le;0x00000002;;
;;ant;0x00000004;;
;;activity_upload;0x00000008;;
;;course_download;0x00000010;;
;;workout_download;0x00000020;;
;;live_track;0x00000040;;
;;weather_conditions;0x00000080;;
;;weather_alerts;0x00000100;;
;;gps_ephemeris_download;0x00000200;;
;;explicit_archive;0x00000400;;
;;setup_incomplete;0x00000800;;
;;continue_sync_after_software_update;0x00001000;;
;;connect_iq_app_download;0x00002000;;
;;;;;
stroke_type;enum;;;;
;;no_event;0;;
;;other;1;stroke was detected but cannot be identified;
;;serve;2;;
;;forehand;3;;
;;backhand;4;;
;;smash;5;;
;;;;;
body_location;enum;;;;
;;left_leg;0;;
;;left_calf;1;;
;;left_shin;2;;
;;left_hamstring;3;;
;;left_quad;4;;
;;left_glute;5;;
;;right_leg;6;;
;;right_calf;7;;
;;right_shin;8;;
;;right_hamstring;9;;
;;right_quad;10;;
;;right_glute;11;;
;;torso_back;12;;
;;left_lower_back;13;;
;;left_upper_back;14;;
;;right_lower_back;15;;
;;right_upper_back;16;;
;;torso_front;17;;
;;left_abdomen;18;;
;;left_chest;19;;
;;right_abdomen;20;;
;;right_chest;21;;
;;left_arm;22;;
;;left_shoulder;23;;
;;left_bicep;24;;
;;left_tricep;25;;
;;left_brachioradialis;26;Left anterior forearm;
;;left_forearm_extensors;27;Left posterior forearm;
;;right_arm;28;;
;;right_shoulder;29;;
;;right_bicep;30;;
;;right_tricep;31;;
;;right_brachioradialis;32;Right anterior forearm;
;;right_forearm_extensors;33;Right posterior forearm;
;;neck;34;;
;;throat;35;;
;;;;;
segment_lap_status;enum;;;;
;;end;0;;
;;fail;1;;
;;;;;
segment_leaderboard_type;enum;;;;
;;overall;0;;
;;personal_best;1;;
;;connections;2;;
;;group;3;;
;;challenger;4;;
;;kom;5;;
;;qom;6;;
;;pr;7;;
;;goal;8;;
;;rival;9;;
;;club_leader;10;;
;;;;;
segment_delete_status;enum;;;;
;;do_not_delete;0;;
;;delete_one;1;;
;;delete_all;2;;
;;;;;
segment_selection_type;enum;;;;
;;starred;0;;
;;suggested;1;;
;;;;;
source_type;enum;;;;
;;ant;0;External device connected with ANT;
;;antplus;1;External device connected with ANT+;
;;bluetooth;2;External device connected with BT;
;;bluetooth_low_energy;3;External device connected with BLE;
;;wifi;4;External device connected with Wifi;
;;local;5;Onboard device;
;;;;;
rider_position_type;enum;;;;
;;seated;0;;
;;standing;1;;
;;;;;
power_phase_type;enum;;;;
;;power_phase_start_angle;0;;
;;power_phase_end_angle;1;;
;;power_phase_arc_length;2;;
;;power_phase_center;3;;
;;;;;
camera_event_type;enum;;;;
;;video_start;0;Start of video recording;
;;video_split;1;Mark of video file split (end of one file, beginning of the other);
;;video_end;2;End of video recording;
;;photo_taken;3;Still photo taken;
;;video_second_stream_start;4;;
;;video_second_stream_split;5;;
;;video_second_stream_end;6;;
;;video_split_start;7;Mark of video file split start;
;;video_second_stream_split_start;8;;
;;;;;
sensor_type;enum;;;;
;;accelerometer;0;;
;;gyroscope;1;;
;;compass;2;;
;;;;;
comm_timeout_type;uint16;;;;
;;wildcard_pairing_timeout;0;Timeout pairing to any device;
;;pairing_timeout;1;Timeout pairing to previously paired device;
;;connection_lost;2;Temporary loss of communications;
;;connection_timeout;3;Connection closed due to extended bad communications;
camera_orientation_type;enum;;;;
;;camera_orientation_0;0;;
;;camera_orientation_90;1;;
;;camera_orientation_180;2;;
;;camera_orientation_270;3;;
;;;;;
attitude_stage;enum;;;;
;;failed;0;;
;;aligning;1;;
;;degraded;2;;
;;valid;3;;
;;;;;
attitude_validity;uint16;;;;
;;track_angle_heading_valid;0x0001;;
;;pitch_valid;0x0002;;
;;roll_valid;0x0004;;
;;lateral_body_accel_valid;0x0008;;
;;normal_body_accel_valid;0x0010;;
;;turn_rate_valid;0x0020;;
;;hw_fail;0x0040;;
;;mag_invalid;0x0080;;
;;no_gps;0x0100;;
;;gps_invalid;0x0200;;
;;solution_coasting;0x0400;;
;;true_track_angle;0x0800;;
;;magnetic_heading;0x1000;;
;;;;;
