Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Data,3,monitoring,timestamp_16,"60192",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"60252",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"60432",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"60552",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"60732",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"60792",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"60912",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"61152",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"61212",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"61272",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"1813",steps,timestamp_16,"61332",s,current_activity_type_intensity,"6",,activity_type,"6",,intensity,"0.0",,,,,,,,
Data,3,monitoring,timestamp_16,"61392",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,
Data,4,monitoring,steps,"1834",steps,timestamp_16,"61452",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"61512",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"2034",steps,timestamp_16,"61812",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,4,monitoring,steps,"2065",steps,timestamp_16,"61872",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"62352",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2225",steps,timestamp_16,"62712",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,4,monitoring,steps,"2240",steps,timestamp_16,"62772",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"63072",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"63132",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"63312",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"63612",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"63672",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64032",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64092",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64152",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64212",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64392",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64452",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"64512",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,4,monitoring,steps,"2266",steps,timestamp_16,"64572",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"65292",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2302",steps,timestamp_16,"65412",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"416",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2317",steps,timestamp_16,"476",s,current_activity_type_intensity,"6",,activity_type,"6",,intensity,"0.0",,,,,,,,
Data,3,monitoring,timestamp_16,"956",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"1016",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"1136",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"2340",steps,timestamp_16,"1196",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"1316",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2385",steps,timestamp_16,"1376",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"2216",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"2276",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"2576",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"2636",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"2696",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"2402",steps,timestamp_16,"2816",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"2876",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"2446",steps,timestamp_16,"2996",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"3116",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"2452",steps,timestamp_16,"3176",s,current_activity_type_intensity,"6",,activity_type,"6",,intensity,"0.0",,,,,,,,
Data,3,monitoring,timestamp_16,"3296",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"3356",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"3836",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"3956",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"4496",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"4616",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"4856",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2472",steps,timestamp_16,"4916",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"5096",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2516",steps,timestamp_16,"5216",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"5276",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"2555",steps,timestamp_16,"5336",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"5576",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2587",steps,timestamp_16,"5636",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"5756",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"5816",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"5876",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2614",steps,timestamp_16,"5936",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"6056",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2623",steps,timestamp_16,"6116",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"6236",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2641",steps,timestamp_16,"6296",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"6536",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2655",steps,timestamp_16,"6596",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"6836",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2696",steps,timestamp_16,"6896",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"7076",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2716",steps,timestamp_16,"7196",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"7316",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"7376",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,4,monitoring,steps,"2731",steps,timestamp_16,"7436",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"7496",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2817",steps,timestamp_16,"7736",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"7976",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"8036",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"8096",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,4,monitoring,steps,"2828",steps,timestamp_16,"8156",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"8336",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"8396",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"8516",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"2845",steps,timestamp_16,"8576",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,
Data,3,monitoring,timestamp_16,"8636",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"2888",steps,timestamp_16,"8756",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"9416",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"9476",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"9596",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"2896",steps,timestamp_16,"9656",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"9776",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,6,event,timestamp,"788670000",s,data16,"2048",,event,"41",,event_type,"3",,data,"2048",,,,,,,,
Data,3,monitoring,timestamp_16,"10556",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"10616",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"10676",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"2902",steps,timestamp_16,"10736",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"10916",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2935",steps,timestamp_16,"10976",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"11696",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"11996",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"12056",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2942",steps,timestamp_16,"12116",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"12236",s,current_activity_type_intensity,"136",,activity_type,"8",,intensity,"4.0",,,,,,,,,,,
Data,4,monitoring,steps,"2953",steps,timestamp_16,"12296",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"12896",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"12956",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"13016",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"13196",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"13256",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,4,monitoring,steps,"3016",steps,timestamp_16,"13316",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"13436",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,4,monitoring,steps,"3030",steps,timestamp_16,"13496",s,current_activity_type_intensity,"134",,activity_type,"6",,intensity,"4.0",,,,,,,,
Data,3,monitoring,timestamp_16,"15416",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"3057",steps,timestamp_16,"15476",s,current_activity_type_intensity,"38",,activity_type,"6",,intensity,"1.0",,,,,,,,
Data,3,monitoring,timestamp_16,"15596",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"15656",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"15716",s,current_activity_type_intensity,"200",,activity_type,"8",,intensity,"6.0",,,,,,,,,,,
Data,4,monitoring,steps,"3076",steps,timestamp_16,"15776",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,,,,,,,
Data,3,monitoring,timestamp_16,"16016",s,current_activity_type_intensity,"168",,activity_type,"8",,intensity,"5.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"16076",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"16316",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"16376",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"16856",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"16976",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"17156",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"17216",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"17336",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"17456",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"17936",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"17996",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18116",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18176",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18236",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18296",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18596",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18656",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"18896",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19076",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19196",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19316",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19376",s,current_activity_type_intensity,"40",,activity_type,"8",,intensity,"1.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19436",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19556",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19676",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"19976",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"20096",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"20276",s,current_activity_type_intensity,"104",,activity_type,"8",,intensity,"3.0",,,,,,,,,,,
Data,4,monitoring,steps,"3142",steps,timestamp_16,"20516",s,current_activity_type_intensity,"102",,activity_type,"6",,intensity,"3.0",,,,,,,,
Data,3,monitoring,timestamp_16,"20576",s,current_activity_type_intensity,"232",,activity_type,"8",,intensity,"7.0",,,,,,,,,,,
Data,1,monitoring,timestamp,"788680800",s,steps,"3142",steps,active_time,"607.0",s,active_calories,"68",kcal,duration_min,"1440",min,activity_type,"6",,,,,
Data,1,monitoring,timestamp,"788680800",s,steps,"31",steps,active_time,"3.0",s,active_calories,"1",kcal,duration_min,"1440",min,activity_type,"1",,,,,
